CÓDIGO,DESCRIÇÃO DE SERVIÇO,UNIDADE,CUSTO UNITÁRIO,REGIÃO,ANO
8662,MOBILIZAÇÃO E DESMOBILIZAÇÃO DE OBRA,,,Região Norte,Planilha
8700,OBRAS EM CENTRO URBANO OU REGIÃO LIMÍTROFE,,,Região Norte,Planilha
ED-50394,"MOBILIZAÇÃO E DESMOBILIZAÇÃO DE OBRA EM CENTRO URBANO OU REGIÃO LIMÍTROFE COM VALOR ACIMA DE 3.000.000,01",%,0.2,Região Norte,Planilha
ED-50392,"MOBILIZAÇÃO E DESMOBILIZAÇÃO DE OBRA EM CENTRO URBANO OU REGIÃO LIMÍTROFE COM VALOR ATÉ O VALOR DE 1.000.000,00",%,0.5,Região Norte,Planilha
ED-50393,"MOBILIZAÇÃO E DESMOBILIZAÇÃO DE OBRA EM CENTRO URBANO OU REGIÃO LIMÍTROFE COM VALOR ENTRE 1.000.000,01 E 3.000.000,00",%,0.3,Região Norte,Planilha
8701,OBRA DISTANTE DE CENTRO URBANO,,,Região Norte,Planilha
ED-50391,"MOBILIZAÇÃO E DESMOBILIZAÇÃO OBRA DISTANTE DE CENTRO URBANO COM ACIMA DE 3.000.000,01",%,1,Região Norte,Planilha
ED-50390,"MOBILIZAÇÃO E DESMOBILIZAÇÃO OBRA DISTANTE DE CENTRO URBANO COM ENTRE 1.000.000,01 E 3.000.000,00",%,1.5,Região Norte,Planilha
ED-50389,"MOBILIZAÇÃO E DESMOBILIZAÇÃO OBRA DISTANTE DE CENTRO URBANO COM VALOR ATÉ O VALOR DE 1.000.000,00",%,2,Região Norte,Planilha
8663,SERVIÇOS PRELIMINARES,,,Região Norte,Planilha
8702,LIMPEZA DO TERRENO,,,Região Norte,Planilha
ED-50701,"CAPINA MANUAL DO TERRENO, EXCLUSIVE RASTELAMENTO E QUEIMA",m2,1.2,Região Norte,Planilha
ED-50703,"LIMPEZA DO TERRENO, INCLUSIVE CAPINA, RASTELAMENTO COM AFASTAMENTO ATÉ 20M E QUEIMA CONTROLADA",m2,2.77,Região Norte,Planilha
